Jogador;Clube;Clube.1;Quantia paga;Unnamed: 4;CONTEXTO_ORIGEM
Jandrei;;Juventude;Fim do empréstimo;;Entradas 26/27
Patryck;;Juventude;Fim do empréstimo;;Entradas 26/27
0;0.0;0;0;0.0;Entradas 26/27
Danielzinho;;Mirassol;custo zero;;Entradas 25/26
Rafael Tolói;;Atalanta;custo zero;;Entradas 25/26
Maílton;;Metalist;custo zero;;Entradas 25/26
Emiliano Rigoni;;León;custo zero;;Entradas 25/26
Gonzalo Tapia;;River Plate;Empréstimo;;Entradas 25/26
Matheus Belém;;Chapecoense;Fim do empréstimo;;Entradas 25/26
Maik;;São Paulo U20;-;;Entradas 25/26
Giuliano Galoppo;;River Plate;Fim do empréstimo;;Entradas 25/26
Rodrigo Nestor;;Bahia;Fim do empréstimo;;Entradas 25/26
João Moreira;;FC Porto B;Fim do empréstimo;;Entradas 25/26
Iba Ly;;Retrô;Fim do empréstimo;;Entradas 25/26
Erick;;Vitória;Fim do empréstimo;;Entradas 25/26
0;0.0;0;0;0.0;Entradas 25/26
Lucas Ferreira;;Shakhtar;€ 10.00 mi.;;Saídas 25/26
Matheus Alves;;CSKA Moscou;€ 5.10 mi.;;Saídas 25/26
Henrique Carmo;;CSKA Moscou;€ 5.10 mi.;;Saídas 25/26
Rodrigo Nestor;;Bahia;€ 3.80 mi.;;Saídas 25/26
Leandro Mathias;;Botafogo-PB;custo zero;;Saídas 25/26
Juan Dinenno;;Deportivo Cali;custo zero;;Saídas 25/26
Igor Vinícius;;Santos;custo zero;;Saídas 25/26
Liziero;;Nacional;custo zero;;Saídas 25/26
Pedro Vilhena;;Operário-PR;custo zero;;Saídas 25/26
Stevanato;;Thundering Herd;custo zero;;Saídas 25/26
Patryck;;Juventude;Empréstimo;;Saídas 25/26
Jandrei;;Juventude;Empréstimo;;Saídas 25/26
Enzo Díaz;;River Plate;Fim do empréstimo;;Saídas 25/26
Luiz Gustavo;;Sem clube;-;;Saídas 25/26
Emiliano Rigoni;;Sem clube;-;;Saídas 25/26
Brian Carvalho;;Sem clube;-;;Saídas 25/26
€ 24.00 mi.;€ 24.00 mi.;€ 24.00 mi.;€ 24.00 mi.;€ 24.00 mi.;Saídas 25/26
Michel Araújo;;Fluminense;€ 1.60 mi.;;Entradas 24/25
Ruan;;Sassuolo;Valor de empréstimo: € 400 mil;;Entradas 24/25
Santiago Longo;;Belgrano;Valor de empréstimo: € 271 mil;;Entradas 24/25
Marcos Antônio;;Lazio;Valor de empréstimo: € 150 mil;;Entradas 24/25
Oscar;;SH Port;custo zero;;Entradas 24/25
Wendell;;FC Porto;custo zero;;Entradas 24/25
Juan Dinenno;;Cruzeiro;custo zero;;Entradas 24/25
Enzo Díaz;;River Plate;Empréstimo;;Entradas 24/25
Nikão;;Athletico-PR;Fim do empréstimo;;Entradas 24/25
Luan Santos;;Vitória;Fim do empréstimo;;Entradas 24/25
Stevanato;;Hercílio Luz;Fim do empréstimo;;Entradas 24/25
Pedro Vilhena;;Sport;Fim do empréstimo;;Entradas 24/25
Raí Ramos;;Ceará;Fim do empréstimo;;Entradas 24/25
Jamal Lewis;;Newcastle;Empréstimo;;Entradas 24/25
Lucca;;São Paulo U20;-;;Entradas 24/25
Pedro Vilhena;;Ponte Preta;Fim do empréstimo;;Entradas 24/25
Felipe Negrucci;;São Paulo U20;-;;Entradas 24/25
Iba Ly;;Inter Limeira;Fim do empréstimo;;Entradas 24/25
Leandro Mathias;;São Paulo U20;-;;Entradas 24/25
Ryan Francisco;;São Paulo U20;-;;Entradas 24/25
Lucas Ferreira;;São Paulo U20;-;;Entradas 24/25
Matheus Alves;;São Paulo U20;-;;Entradas 24/25
Cédric Soares;;Sem clube;-;;Entradas 24/25
€ 2.42 mi.;€ 2.42 mi.;€ 2.42 mi.;€ 2.42 mi.;€ 2.42 mi.;Entradas 24/25
William Gomes;;FC Porto;€ 9.00 mi.;;Saídas 24/25
Diego Costa;;Krasnodar;€ 7.50 mi.;;Saídas 24/25
Michel Araújo;;Bahia;€ 2.75 mi.;;Saídas 24/25
Rodrigo Nestor;;Bahia;Valor de empréstimo: € 1.50 mi.;;Saídas 24/25
Juan;;Southampton;€ 900 mil;;Saídas 24/25
Wellington Rato;;Vitória;€ 785 mil;;Saídas 24/25
Gabriel Neves;;Estudiantes LP;€ 735 mil;;Saídas 24/25
Erick;;Vitória;Valor de empréstimo: € 160 mil;;Saídas 24/25
Raí Ramos;;Atlético-GO;custo zero;;Saídas 24/25
Nikão;;GD GZ-Power;custo zero;;Saídas 24/25
João Moreira;;FC Porto B;Empréstimo;;Saídas 24/25
Jhegson Méndez;;Independiente;custo zero;;Saídas 24/25
James Rodríguez;;Rayo Vallecano;custo zero;;Saídas 24/25
Rafinha;;Coritiba;custo zero;;Saídas 24/25
Welington;;Southampton;custo zero;;Saídas 24/25
Iba Ly;;Inter Limeira;Empréstimo;;Saídas 24/25
Matheus Belém;;Chapecoense;Empréstimo;;Saídas 24/25
Brian Carvalho;;VRS Academy;Empréstimo;;Saídas 24/25
Iba Ly;;Retrô;Empréstimo;;Saídas 24/25
Pedro Vilhena;;Ponte Preta;Empréstimo;;Saídas 24/25
Luis Orejuela;;Sem clube;-;;Saídas 24/25
Santiago Longo;;Belgrano;Fim do empréstimo;;Saídas 24/25
Michel Araújo;;Fluminense;Fim do empréstimo;;Saídas 24/25
Giuliano Galoppo;;River Plate;Empréstimo;;Saídas 24/25
Guilherme Paz;;Sem clube;-;;Saídas 24/25
Jamal Lewis;;Newcastle;Fim do empréstimo;;Saídas 24/25
€ 23.33 mi.;€ 23.33 mi.;€ 23.33 mi.;€ 23.33 mi.;€ 23.33 mi.;Saídas 24/25
Nahuel Ferraresi;;Man City U21;€ 4.30 mi.;;Entradas 23/24
Ferreirinha;;Grêmio;€ 4.10 mi.;;Entradas 23/24
André Silva;;Vit. Guimarães;€ 3.80 mi.;;Entradas 23/24
Damián Bobadilla;;Cerro Porteño;€ 2.70 mi.;;Entradas 23/24
Erick;;Ceará;custo zero;;Entradas 23/24
Lucas Moura;;Tottenham;custo zero;;Entradas 23/24
Sabino;;Sport;custo zero;;Entradas 23/24
Thiago Couto;;Juventude;Fim do empréstimo;;Entradas 23/24
Nikão;;Cruzeiro;Fim do empréstimo;;Entradas 23/24
Luis Orejuela;;Ceará;Fim do empréstimo;;Entradas 23/24
Liziero;;Coritiba;Fim do empréstimo;;Entradas 23/24
James Rodríguez;;Sem clube;-;;Entradas 23/24
Iba Ly;;São Paulo U20;-;;Entradas 23/24
Henrique Carmo;;São Paulo U17;-;;Entradas 23/24
Stevanato;;São Paulo U20;-;;Entradas 23/24
William Gomes;;São Paulo U17;-;;Entradas 23/24
Talles Wander;;São Paulo U20;-;;Entradas 23/24
Luiz Gustavo;;Sem clube;-;;Entradas 23/24
€ 14.90 mi.;€ 14.90 mi.;€ 14.90 mi.;€ 14.90 mi.;€ 14.90 mi.;Entradas 23/24
Lucas Beraldo;;PSG;€ 20.00 mi.;;Saídas 23/24
Nathan Mendes;;Bragantino;€ 1.00 mi.;;Saídas 23/24
Talles Costa;;Polissya;€ 1.00 mi.;;Saídas 23/24
Thiago Couto;;Sport;€ 355 mil;;Saídas 23/24
Walce;;Santo André;custo zero;;Saídas 23/24
Bruno Alves;;Grêmio;custo zero;;Saídas 23/24
Talles Wander;;AVS;custo zero;;Saídas 23/24
Jhegson Méndez;;Elche;Empréstimo;;Saídas 23/24
Liziero;;Yverdon Sport;Empréstimo;;Saídas 23/24
Luis Orejuela;;Indep. Medellín;Empréstimo;;Saídas 23/24
Luis Orejuela;;Ceará;Empréstimo;;Saídas 23/24
Nikão;;Athletico-PR;Empréstimo;;Saídas 23/24
Luan Santos;;Vitória;Empréstimo;;Saídas 23/24
Stevanato;;Hercílio Luz;Empréstimo;;Saídas 23/24
Gabriel Neves;;Independiente;Empréstimo;;Saídas 23/24
Pedro Vilhena;;Sport;Empréstimo;;Saídas 23/24
Raí Ramos;;Ceará;Empréstimo;;Saídas 23/24
Erison;;Botafogo;Fim do empréstimo;;Saídas 23/24
Caio Paulista;;Fluminense;Fim do empréstimo;;Saídas 23/24
David;;Internacional;Fim do empréstimo;;Saídas 23/24
Marcos Paulo;;Atlético;Fim do empréstimo;;Saídas 23/24
Nahuel Ferraresi;;Man City U21;Fim do empréstimo;;Saídas 23/24
Alexandre Pato;;Sem clube;-;;Saídas 23/24
€ 22.36 mi.;€ 22.36 mi.;€ 22.36 mi.;€ 22.36 mi.;€ 22.36 mi.;Saídas 23/24
Giuliano Galoppo;;Banfield;€ 6.00 mi.;;Entradas 22/23
Jonathan Calleri;;CD Maldonado;€ 2.90 mi.;;Entradas 22/23
Gabriel Neves;;Nacional;€ 1.65 mi.;;Entradas 22/23
Rafael;;Atlético-MG;€ 900 mil;;Entradas 22/23
Wellington Rato;;Atlético-GO;€ 900 mil;;Entradas 22/23
Alan Franco;;Atlanta;€ 285 mil;;Entradas 22/23
Felipe Alves;;Fortaleza;Valor de empréstimo: € 200 mil;;Entradas 22/23
David;;Internacional;Valor de empréstimo: € 200 mil;;Entradas 22/23
Caio Paulista;;Fluminense;Valor de empréstimo: € 100 mil;;Entradas 22/23
Nahuel Bustos;;Man City;Empréstimo;;Entradas 22/23
Jhegson Méndez;;LAFC;custo zero;;Entradas 22/23
Marcos Guilherme;;Internacional;custo zero;;Entradas 22/23
Raí Ramos;;Ituano;custo zero;;Entradas 22/23
Pedrinho;;Loko Moscou;Empréstimo;;Entradas 22/23
Nahuel Ferraresi;;Man City U21;Empréstimo;;Entradas 22/23
Michel Araújo;;Fluminense;Empréstimo;;Entradas 22/23
Erison;;Botafogo;Empréstimo;;Entradas 22/23
Marcos Paulo;;Atlético;Empréstimo;;Entradas 22/23
Nathan Mendes;;Coritiba;Fim do empréstimo;;Entradas 22/23
Walce;;Juventude;Fim do empréstimo;;Entradas 22/23
Alexandre Pato;;Sem clube;-;;Entradas 22/23
Guilherme Paz;;São Paulo U17;-;;Entradas 22/23
Lucas Beraldo;;São Paulo U20;-;;Entradas 22/23
Luizão;;São Paulo U20;-;;Entradas 22/23
Pedro Vilhena;;São Paulo U20;-;;Entradas 22/23
Matheus Belém;;São Paulo U20;-;;Entradas 22/23
Rodriguinho;;São Paulo U20;-;;Entradas 22/23
Lucas Perri;;Náutico;Fim do empréstimo;;Entradas 22/23
Patryck;;São Paulo U20;-;;Entradas 22/23
Young;;São Paulo U20;-;;Entradas 22/23
Liziero;;Internacional;Fim do empréstimo;;Entradas 22/23
Luis Orejuela;;Athletico-PR;Fim do empréstimo;;Entradas 22/23
€ 13.14 mi.;€ 13.14 mi.;€ 13.14 mi.;€ 13.14 mi.;€ 13.14 mi.;Entradas 22/23
Gabriel Sara;;Norwich;€ 10.50 mi.;;Saídas 22/23
Emiliano Rigoni;;Austin;€ 3.65 mi.;;Saídas 22/23
Marquinhos;;Arsenal;€ 3.50 mi.;;Saídas 22/23
Léo;;Vasco da Gama;€ 2.80 mi.;;Saídas 22/23
Tiago Volpi;;Toluca;€ 2.50 mi.;;Saídas 22/23
Patrick;;Atlético-MG;€ 1.50 mi.;;Saídas 22/23
Lucas Perri;;Botafogo;€ 350 mil;;Saídas 22/23
Éder;;Criciúma;custo zero;;Saídas 22/23
Jonas Toró;;Panathinaikos;custo zero;;Saídas 22/23
Marcos Guilherme;;Khimki;custo zero;;Saídas 22/23
Igor Gomes;;Atlético-MG;custo zero;;Saídas 22/23
Luizão;;West Ham S21;custo zero;;Saídas 22/23
Reinaldo;;Grêmio;custo zero;;Saídas 22/23
Walce;;Juventude;Empréstimo;;Saídas 22/23
Liziero;;Coritiba;Empréstimo;;Saídas 22/23
Thiago Couto;;Juventude;Empréstimo;;Saídas 22/23
Nikão;;Cruzeiro;Empréstimo;;Saídas 22/23
Miranda;;Fim de carreira;-;;Saídas 22/23
Nahuel Bustos;;Man City;Fim do empréstimo;;Saídas 22/23
Felipe Alves;;Fortaleza;Fim do empréstimo;;Saídas 22/23
Andrés Colorado;;Inter Palmira;Fim do empréstimo;;Saídas 22/23
Jonathan Calleri;;CD Maldonado;Fim do empréstimo;;Saídas 22/23
Gabriel Neves;;Nacional;Fim do empréstimo;;Saídas 22/23
Pedrinho;;Loko Moscou;Fim do empréstimo;;Saídas 22/23
€ 24.80 mi.;€ 24.80 mi.;€ 24.80 mi.;€ 24.80 mi.;€ 24.80 mi.;Saídas 22/23
Patrick;;Internacional;€ 500 mil;;Entradas 21/22
Gabriel Neves;;Nacional;Valor de empréstimo: € 250 mil;;Entradas 21/22
Rafinha;;Grêmio;custo zero;;Entradas 21/22
Alisson;;Grêmio;custo zero;;Entradas 21/22
Jandrei;;Santos;custo zero;;Entradas 21/22
Nikão;;Athletico-PR;custo zero;;Entradas 21/22
Andrés Colorado;;Inter Palmira;Empréstimo;;Entradas 21/22
André Anderson;;Lazio;Empréstimo;;Entradas 21/22
Jonathan Calleri;;CD Maldonado;Empréstimo;;Entradas 21/22
Jean;;Cerro Porteño;Fim do empréstimo;;Entradas 21/22
Marquinhos;;São Paulo U20;-;;Entradas 21/22
Helinho;;Bragantino;Fim do empréstimo;;Entradas 21/22
Dênis Júnior;;Bahia;Fim do empréstimo;;Entradas 21/22
Santiago Tréllez;;Sport;Fim do empréstimo;;Entradas 21/22
Tchê Tchê;;Atlético-MG;Fim do empréstimo;;Entradas 21/22
Paulinho Bóia;;Juventude;Fim do empréstimo;;Entradas 21/22
Jonas Toró;;Atlético-GO;Fim do empréstimo;;Entradas 21/22
Jonas Toró;;Sport;Fim do empréstimo;;Entradas 21/22
Júnior Tavares;;Sport;Fim do empréstimo;;Entradas 21/22
Húdson;;Fluminense;Fim do empréstimo;;Entradas 21/22
Luis Orejuela;;Grêmio;Fim do empréstimo;;Entradas 21/22
João Moreira;;São Paulo U20;-;;Entradas 21/22
Nathan Mendes;;São Paulo U20;-;;Entradas 21/22
Pablo Maia;;São Paulo U20;-;;Entradas 21/22
Juan;;São Paulo U20;-;;Entradas 21/22
Lucas Kal;;América-MG;Fim do empréstimo;;Entradas 21/22
€ 750 mil;€ 750 mil;€ 750 mil;€ 750 mil;€ 750 mil;Entradas 21/22
Helinho;;Bragantino;€ 4.00 mi.;;Saídas 21/22
Paulinho Bóia;;Metalist;€ 1.60 mi.;;Saídas 21/22
Jean;;Cerro Porteño;€ 1.00 mi.;;Saídas 21/22
Tchê Tchê;;Botafogo;€ 1.00 mi.;;Saídas 21/22
Santiago Tréllez;;Vitória;custo zero;;Saídas 21/22
Júnior Tavares;;Náutico;custo zero;;Saídas 21/22
Everton Felipe;;Sport;custo zero;;Saídas 21/22
Hernanes;;Sport;custo zero;;Saídas 21/22
Vitor Bueno;;Athletico-PR;custo zero;;Saídas 21/22
Pablo;;Athletico-PR;custo zero;;Saídas 21/22
Shaylon;;Atlético-GO;custo zero;;Saídas 21/22
William;;CSA;custo zero;;Saídas 21/22
Dênis Júnior;;Bahia;custo zero;;Saídas 21/22
Liziero;;Internacional;Empréstimo;;Saídas 21/22
Lucas Perri;;Náutico;Empréstimo;;Saídas 21/22
Pedro Oliveira;;Prudente-SP;?;;Saídas 21/22
Jonas Toró;;Atlético-GO;Empréstimo;;Saídas 21/22
Nathan Mendes;;Coritiba;Empréstimo;;Saídas 21/22
Luis Orejuela;;Grêmio;Empréstimo;;Saídas 21/22
Luis Orejuela;;Athletico-PR;Empréstimo;;Saídas 21/22
Bruno Alves;;Grêmio;Empréstimo;;Saídas 21/22
Lucas Kal;;América-MG;?;;Saídas 21/22
Bruno Rodrigues;;Tombense;Fim do empréstimo;;Saídas 21/22
Húdson;;Sem clube;-;;Saídas 21/22
Rodrigo Freitas;;Sem clube;-;;Saídas 21/22
Marcos Calazans;;Sem clube;-;;Saídas 21/22
Dani Alves;;Sem clube;-;;Saídas 21/22
Joao Rojas;;Sem clube;-;;Saídas 21/22
Antonio Galeano;;Rubio Ñú;Fim do empréstimo;;Saídas 21/22
Martín Benítez;;Independiente;Fim do empréstimo;;Saídas 21/22
€ 7.60 mi.;€ 7.60 mi.;€ 7.60 mi.;€ 7.60 mi.;€ 7.60 mi.;Saídas 21/22
Emiliano Rigoni;;Elche;€ 3.80 mi.;;Entradas 20/21
Luis Orejuela;;Cruzeiro;€ 2.00 mi.;;Entradas 20/21
Martín Benítez;;Independiente;Valor de empréstimo: € 250 mil;;Entradas 20/21
Luciano;;Grêmio;custo zero;;Entradas 20/21
Miranda;;Jiangsu FC;custo zero;;Entradas 20/21
Éder;;Jiangsu FC;custo zero;;Entradas 20/21
William;;Toluca;custo zero;;Entradas 20/21
Bruno Rodrigues;;Tombense;Empréstimo;;Entradas 20/21
Gabriel Novaes;;São Paulo U20;-;;Entradas 20/21
Marcos Calazans;;CRB;Fim do empréstimo;;Entradas 20/21
Everton Felipe;;Cruzeiro;Fim do empréstimo;;Entradas 20/21
Gabriel Novaes;;Bahia;Fim do empréstimo;;Entradas 20/21
Welington;;São Paulo U20;-;;Entradas 20/21
Talles Costa;;São Paulo U20;-;;Entradas 20/21
Shaylon;;Goiás;Fim do empréstimo;;Entradas 20/21
Everton Felipe;;Atlético-GO;Fim do empréstimo;;Entradas 20/21
Jean;;Atlético-GO;Fim do empréstimo;;Entradas 20/21
€ 6.05 mi.;€ 6.05 mi.;€ 6.05 mi.;€ 6.05 mi.;€ 6.05 mi.;Entradas 20/21
Antony;;Ajax;€ 15.75 mi.;;Saídas 20/21
Brenner;;Cincinnati;€ 11.82 mi.;;Saídas 20/21
Gabriel Novaes;;Bragantino;€ 900 mil;;Saídas 20/21
Helinho;;Bragantino;Valor de empréstimo: € 500 mil;;Saídas 20/21
Jean;;Cerro Porteño;Valor de empréstimo: € 150 mil;;Saídas 20/21
Bruno Dip;;Camboriú;custo zero;;Saídas 20/21
Gonzalo Carneiro;;FC Sion;custo zero;;Saídas 20/21
Léo Natel;;Corinthians;custo zero;;Saídas 20/21
Fabinho;;Athletico-PR;custo zero;;Saídas 20/21
Éverton;;Grêmio;custo zero;;Saídas 20/21
Anderson Martins;;Bahia;custo zero;;Saídas 20/21
Everton Felipe;;Atlético-GO;Empréstimo;;Saídas 20/21
Gabriel Novaes;;Bahia;Empréstimo;;Saídas 20/21
Júnior Tavares;;Sport;Empréstimo;;Saídas 20/21
Shaylon;;Goiás;Empréstimo;;Saídas 20/21
Marcos Calazans;;CRB;Empréstimo;;Saídas 20/21
Lucas Kal;;Nacional;Empréstimo;;Saídas 20/21
Tchê Tchê;;Atlético-MG;Empréstimo;;Saídas 20/21
Santiago Tréllez;;Sport;Empréstimo;;Saídas 20/21
Dênis Júnior;;Bahia;Empréstimo;;Saídas 20/21
Alexandre Pato;;Sem clube;-;;Saídas 20/21
Jonas Toró;;Sport;Empréstimo;;Saídas 20/21
Juanfran Torres;;Fim de carreira;-;;Saídas 20/21
€ 29.12 mi.;€ 29.12 mi.;€ 29.12 mi.;€ 29.12 mi.;€ 29.12 mi.;Saídas 20/21
Tiago Volpi;;Querétaro FC;€ 4.50 mi.;;Entradas 19/20
Raniel;;Cruzeiro;€ 3.00 mi.;;Entradas 19/20
Everton Felipe;;Sport;€ 700 mil;;Entradas 19/20
Igor Vinícius;;Ituano;€ 450 mil;;Entradas 19/20
Vitor Bueno;;Santos;custo zero;;Entradas 19/20
Juanfran Torres;;Atlético;custo zero;;Entradas 19/20
Dani Alves;;PSG;custo zero;;Entradas 19/20
Antonio Galeano;;Rubio Ñú;Empréstimo;;Entradas 19/20
Maicosuel;;Paraná;Fim do empréstimo;;Entradas 19/20
Bruno Peres;;Sport;Fim do empréstimo;;Entradas 19/20
Everton Felipe;;Athletico-PR;Fim do empréstimo;;Entradas 19/20
Jonatan Gómez;;CSA;Fim do empréstimo;;Entradas 19/20
Brenner;;Fluminense;Fim do empréstimo;;Entradas 19/20
Diego Souza;;Botafogo;Fim do empréstimo;;Entradas 19/20
Felipe Araruna;;Fortaleza;Fim do empréstimo;;Entradas 19/20
Thomaz;;Bolívar;Fim do empréstimo;;Entradas 19/20
Caíque;;Criciúma;Fim do empréstimo;;Entradas 19/20
Pedro Bortoluzo;;Criciúma;Fim do empréstimo;;Entradas 19/20
Santiago Tréllez;;Internacional;Fim do empréstimo;;Entradas 19/20
Shaylon;;Bahia;Fim do empréstimo;;Entradas 19/20
Diego Costa;;São Paulo U20;-;;Entradas 19/20
Paulinho Bóia;;São Bento;Fim do empréstimo;;Entradas 19/20
Danilo Belão;;Votuporanguense;Fim do empréstimo;;Entradas 19/20
Lucas Paes;;Louletano;Fim do empréstimo;;Entradas 19/20
Fabinho;;São Paulo U20;-;;Entradas 19/20
Lucas Kal;;América-MG;Fim do empréstimo;;Entradas 19/20
Thiago Couto;;São Paulo U20;-;;Entradas 19/20
Rodrigo Nestor;;São Paulo U20;-;;Entradas 19/20
Gabriel Sara;;São Paulo U20;-;;Entradas 19/20
Thomaz;;Inter Limeira;Fim do empréstimo;;Entradas 19/20
Pedro Bortoluzo;;Votuporanguense;Fim do empréstimo;;Entradas 19/20
€ 8.65 mi.;€ 8.65 mi.;€ 8.65 mi.;€ 8.65 mi.;€ 8.65 mi.;Entradas 19/20
Morato;;Benfica B;€ 7.60 mi.;;Saídas 19/20
Lucas Fernandes;;Portimonense;€ 2.20 mi.;;Saídas 19/20
Raniel;;Santos;custo zero;;Saídas 19/20
Willian Farias;;Sport;custo zero;;Saídas 19/20
Jean;;Atlético-GO;Empréstimo;;Saídas 19/20
Diego Souza;;Grêmio;custo zero;;Saídas 19/20
Nenê;;Fluminense;custo zero;;Saídas 19/20
Thomaz;;Operário-PR;custo zero;;Saídas 19/20
Biro Biro;;Nova Iguaçu;custo zero;;Saídas 19/20
Lucas Paes;;Louletano;Empréstimo;;Saídas 19/20
Paulinho Bóia;;São Bento;Empréstimo;;Saídas 19/20
Bruno Peres;;Sport;Empréstimo;;Saídas 19/20
Lucas Kal;;América-MG;Empréstimo;;Saídas 19/20
Everton Felipe;;Athletico-PR;Empréstimo;;Saídas 19/20
Pedro Oliveira;;Louletano;Empréstimo;;Saídas 19/20
Rodrigo Freitas;;Portimonense;Empréstimo;;Saídas 19/20
Jonatan Gómez;;Sport;?;;Saídas 19/20
Lucas Paes;;Vitória FC;?;;Saídas 19/20
Felipe Araruna;;Reading;?;;Saídas 19/20
Everton Felipe;;Cruzeiro;Empréstimo;;Saídas 19/20
Húdson;;Fluminense;Empréstimo;;Saídas 19/20
Thomaz;;Inter Limeira;Empréstimo;;Saídas 19/20
Pedro Bortoluzo;;Votuporanguense;Empréstimo;;Saídas 19/20
Bruno Peres;;Roma;Fim do empréstimo;;Saídas 19/20
Everton Felipe;;Sport;Fim do empréstimo;;Saídas 19/20
Maicosuel;;Fim de carreira;-;;Saídas 19/20
Pedro Bortoluzo;;Sem clube;-;;Saídas 19/20
Jucilei;;Sem clube;-;;Saídas 19/20
Igor Vinícius;;Ituano;Fim do empréstimo;;Saídas 19/20
Tiago Volpi;;Querétaro FC;Fim do empréstimo;;Saídas 19/20
Vitor Bueno;;Santos;Fim do empréstimo;;Saídas 19/20
Danilo Belão;;Votuporanguense;-;;Saídas 19/20
€ 9.80 mi.;€ 9.80 mi.;€ 9.80 mi.;€ 9.80 mi.;€ 9.80 mi.;Saídas 19/20
Pablo;;Athletico-PR;€ 6.00 mi.;;Entradas 18/19
Tchê Tchê;;Dinamo de Kiev;€ 5.00 mi.;;Entradas 18/19
Hernanes;;HB CFFC;€ 3.00 mi.;;Entradas 18/19
Bruno Peres;;Roma;Valor de empréstimo: € 1.40 mi.;;Entradas 18/19
Léo;;Fluminense;€ 700 mil;;Entradas 18/19
Everton Felipe;;Sport;Valor de empréstimo: € 700 mil;;Entradas 18/19
Tiago Volpi;;Querétaro FC;Valor de empréstimo: € 440 mil;;Entradas 18/19
Vitor Bueno;;Santos;Valor de empréstimo: € 140 mil;;Entradas 18/19
Marcos Calazans;;Fluminense;custo zero;;Entradas 18/19
Alexandre Pato;;TJ Tianhai;custo zero;;Entradas 18/19
Joao Rojas;;CD Cruz Azul;custo zero;;Entradas 18/19
Roni;;Adanaspor;custo zero;;Entradas 18/19
Willian Farias;;Vitória;custo zero;;Entradas 18/19
Biro Biro;;SH Shenxin;custo zero;;Entradas 18/19
Igor Vinícius;;Ituano;Empréstimo;;Entradas 18/19
Wellington;;Vasco da Gama;Fim do empréstimo;;Entradas 18/19
Luan Santos;;São Paulo U20;-;;Entradas 18/19
Helinho;;São Paulo U20;-;;Entradas 18/19
Danilo Belão;;Itumbiara;Fim do empréstimo;;Entradas 18/19
Morato;;Sport;Fim do empréstimo;;Entradas 18/19
Thomaz;;Paysandu;Fim do empréstimo;;Entradas 18/19
Joanderson;;Criciúma;Fim do empréstimo;;Entradas 18/19
Roni;;São Bento;Fim do empréstimo;;Entradas 18/19
Jonatan Gómez;;Al-Fayha;Fim do empréstimo;;Entradas 18/19
Joanderson;;Atlético-GO;Fim do empréstimo;;Entradas 18/19
Douglas;;Chapecoense;Fim do empréstimo;;Entradas 18/19
Morato;;São Paulo U20;-;;Entradas 18/19
Jonas Toró;;São Paulo U20;-;;Entradas 18/19
Walce;;São Paulo U20;-;;Entradas 18/19
Dênis Júnior;;São Paulo U20;-;;Entradas 18/19
Igor Gomes;;São Paulo U20;-;;Entradas 18/19
Antony;;São Paulo U20;-;;Entradas 18/19
Lucas Kal;;Vasco da Gama;Fim do empréstimo;;Entradas 18/19
€ 17.38 mi.;€ 17.38 mi.;€ 17.38 mi.;€ 17.38 mi.;€ 17.38 mi.;Entradas 18/19
Christian Cueva;;Krasnodar;€ 8.00 mi.;;Saídas 18/19
Rodrigo Caio;;Flamengo;€ 7.00 mi.;;Saídas 18/19
Éder Militão;;FC Porto;€ 7.00 mi.;;Saídas 18/19
Petros;;Al-Nassr;€ 5.00 mi.;;Saídas 18/19
Marquinhos Cipriano;;Shakhtar;€ 1.00 mi.;;Saídas 18/19
Júnior Tavares;;Sampdoria;Valor de empréstimo: € 1.00 mi.;;Saídas 18/19
Auro;;Toronto;€ 650 mil;;Saídas 18/19
Santiago Tréllez;;Internacional;Valor de empréstimo: € 350 mil;;Saídas 18/19
Bruno;;Bahia;custo zero;;Saídas 18/19
Sidão;;Goiás;custo zero;;Saídas 18/19
Jonatan Gómez;;CSA;Empréstimo;;Saídas 18/19
Brenner;;Fluminense;Empréstimo;;Saídas 18/19
Edimar;;Bragantino;custo zero;;Saídas 18/19
Bissoli;;Athletico-PR;custo zero;;Saídas 18/19
Maicosuel;;Paraná;Empréstimo;;Saídas 18/19
Wellington;;Athletico-PR;?;;Saídas 18/19
Roni;;São Bento;Empréstimo;;Saídas 18/19
Lucas Farias;;São Bento;?;;Saídas 18/19
Morato;;Sport;Empréstimo;;Saídas 18/19
Lucas Fernandes;;Portimonense;Empréstimo;;Saídas 18/19
Paulinho Bóia;;Portimonense;Empréstimo;;Saídas 18/19
Lucas Kal;;Vasco da Gama;Empréstimo;;Saídas 18/19
Léo Natel;;APOEL Nicósia;Empréstimo;;Saídas 18/19
Joanderson;;Criciúma;Empréstimo;;Saídas 18/19
Matheus Reis;;Rio Ave;?;;Saídas 18/19
Diego Souza;;Botafogo;Empréstimo;;Saídas 18/19
Felipe Araruna;;Fortaleza;Empréstimo;;Saídas 18/19
Lucas Perri;;Crystal Palace;Empréstimo;;Saídas 18/19
Danilo Belão;;Votuporanguense;Empréstimo;;Saídas 18/19
Joanderson;;Grêmio B;?;;Saídas 18/19
Pedro Bortoluzo;;Criciúma;Empréstimo;;Saídas 18/19
Thomaz;;Bolívar;Empréstimo;;Saídas 18/19
Shaylon;;Bahia;Empréstimo;;Saídas 18/19
Lucão;;Sem clube;-;;Saídas 18/19
Roni;;Sem clube;-;;Saídas 18/19
Régis Souza;;Sem clube;-;;Saídas 18/19
